EmployeeID,Name,DateOfBirth,Gender,MaritalStatus,Address,PhoneNumber,Email
12345,John Doe,1985-01-15,Male,Single,"123 Elm Street, Springfield, IL, 62704","(555) 123-4567",johndoe@example.com
12346,Jane Smith,1990-02-20,Female,Married,"456 Oak Street, Springfield, IL, 62705","(555) 234-5678",janesmith@example.com
12347,Emily Davis,1987-03-25,Female,Single,"789 Pine Street, Springfield, IL, 62706","(555) 345-6789",emilydavis@example.com
12348,Michael Brown,1979-04-30,Male,Married,"101 Maple Street, Springfield, IL, 62707","(555) 456-7890",michaelbrown@example.com
12349,Jessica Wilson,1982-05-15,Female,Divorced,"202 Birch Street, Springfield, IL, 62708","(555) 567-8901",jessicawilson@example.com
12350,David Martinez,1985-06-20,Male,Single,"303 Cedar Street, Springfield, IL, 62709","(555) 678-9012",davidmartinez@example.com
12351,Laura Garcia,1992-07-25,Female,Married,"404 Redwood Street, Springfield, IL, 62710","(555) 789-0123",lauragarcia@example.com
12352,James Johnson,1983-08-30,Male,Single,"505 Palm Street, Springfield, IL, 62711","(555) 890-1234",jamesjohnson@example.com
12353,Sarah Lee,1991-09-05,Female,Single,"606 Willow Street, Springfield, IL, 62712","(555) 901-2345",sarahlee@example.com
12354,Daniel Harris,1978-10-10,Male,Married,"707 Poplar Street, Springfield, IL, 62713","(555) 012-3456",danielharris@example.com
